Date : 2021-07-22 15:05:54
Directory : f:\Antonio\Code\WebDev\bakmazon\src
Total : 59 files,  3812 codes, 86 comments, 643 blanks, all 4541 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| SCSS       |         24 |      2,090 |          8 |        319 |      2,417 |
| JavaScript |         29 |      1,684 |         78 |        317 |      2,079 |
| XML        |          3 |         26 |          0 |          3 |         29 |
| CSS        |          3 |         12 |          0 |          4 |         16 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                     | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                        |         59 |      3,812 |         86 |        643 |      4,541 |
| Components                                                                                               |         52 |      3,748 |         79 |        632 |      4,459 |
| Components\AddToCart                                                                                     |          2 |          0 |          0 |          2 |          2 |
| Components\App                                                                                           |          2 |         50 |          0 |          4 |         54 |
| Components\Cart                                                                                          |          6 |        551 |         11 |        100 |        662 |
| Components\CartDropdown                                                                                  |          4 |        176 |          6 |         33 |        215 |
| Components\CartDropdown\CartDropdownProduct                                                              |          2 |         63 |          0 |         11 |         74 |
| Components\Cart\CartProduct                                                                              |          2 |        120 |          3 |         24 |        147 |
| Components\Cart\Discount                                                                                 |          2 |        160 |          1 |         24 |        185 |
| Components\Catalog                                                                                       |          2 |         15 |          0 |          3 |         18 |
| Components\ChatPopup                                                                                     |          2 |        107 |          2 |         19 |        128 |
| Components\Checkout                                                                                      |          2 |        236 |          6 |         43 |        285 |
| Components\CustomInput                                                                                   |          2 |        116 |          0 |         27 |        143 |
| Components\Firebase                                                                                      |          1 |         14 |          0 |          3 |         17 |
| Components\Footer                                                                                        |          2 |        104 |          0 |         18 |        122 |
| Components\Home                                                                                          |          2 |        137 |          0 |         23 |        160 |
| Components\Navbar                                                                                        |          2 |        327 |          4 |         58 |        389 |
| Components\Product                                                                                       |          2 |        238 |          8 |         50 |        296 |
| Components\ProductList                                                                                   |          2 |         55 |          7 |         12 |         74 |
| Components\Recent                                                                                        |          3 |         66 |          0 |          8 |         74 |
